"Transactional emails","Emails transactionnels"
"Customers synchronization","Synchronisation des clients"
"Emails and wysiwyg directives","Directives emails et wysiwyg"
"Emails preview","Aperçu des emails"
"Sent email report","Rapport des emails envoyés"
"Send emails","Envoyer les emails"
"Emails encoding","Encodage des emails"
"Minify <abbr title=""HyperText Markup Language"">HTML</abbr> code","Minifier le code <abbr title=""Langage de balisage hypertexte (HyperText Markup Language)"">HTML</abbr>"
"Email history lifetime and email header colors","Durée de vie de l'historique des emails et couleurs de l'entête des emails"
"Domain of Message-ID","Domaine du Message-ID"
"Number of emails per page","Nombre d'emails par page"
"Show the subject column","Afficher la colonne sujet"
"Show the size column","Afficher la colonne taille"
"Show the created at column","Afficher la colonne créé le"
"Number of emails","Nombre d'emails"
"Table size","Taille de la table"
"Email reports","Rapports par email"
"Separate addresses by a space.","Séparer les adresses par un espace."
"Send an email now","Envoyer un email maintenant"
"All <em>base_url</em> must contain","Toutes les <em lang=""en"">base_url</em> doivent contenir"
"Separate keywords by a space.","Séparer les mots clefs par un espace."
"All <em>base_url</em> must not contain","Toutes les <em lang=""en"">base_url</em> ne doivent pas contenir"
"Email address must not contains","L'adresse email ne doit pas contenir"
"
						<p>Synchronization allow to synchronize customer data from <strong>OpenMage</strong> to your <strong>System</strong>.<br />It is performed every minutes by cron job on the following events (whether from the backend or from the frontend):</p>
						<ul>
							<li>when customer login,</li>
							<li>when saving or deleting a customer,</li>
							<li>when saving or deleting a subscriber,</li>
							<li>when saving a shipping or a billing address of a customer,</li>
							<li>when invoicing an order.</li>
						</ul>
					","<p>La synchronisation permet de synchroniser les données des clients de <strong>OpenMage</strong> vers votre <strong>Système</strong>.<br />Elle est réalisée chaque minute via une tâche cron sur les événements suivants (que ce soit depuis le front-office ou depuis le back-office) :</p>
<ul>
<li>lors de la connexion d'un client,</li>
<li>lors de l'enregistrement ou de la suppression d'un client,</li>
<li>lors de l'enregistrement ou de la suppression d'un abonné,</li>
<li>lors de l'enregistrement de l'adresse de livraison ou de facturation d'un client,</li>
<li>lors de la facturation d'une commande.</li>
</ul>"
"History lifetime","Durée de vie de l'historique"
"Number of synchronizations","Nombre de synchronisations"
"Synchronization with Emarsys","Synchronisation avec Emarsys"
"Synchronize customers","Synchroniser les clients"
"Correspondence of attributes","Correspondance des attributs"
"Customer Id field","Champ id client"
"In case of a change of email address, the customer identification in the system will be done with the customer id.","En cas de changement d'adresse email, l'identification du client sur le système se fera avec l'id du client."
"For orders, only: Processing, Complete, Closed.","Pour les commandes, uniquement : En cours de traitement (processing), Terminée (complete), Fermée (closed)."
"Synchronization with Mautic","Synchronisation avec Mautic"
"Invalid emails import","Import des emails invalides"
"<p>This import allows to import invalid emails from your <strong>System</strong> to <strong>OpenMage</strong>.<br />It is carried out punctually by cron job thanks to the newest file in the specified folder below.<br />Whatever the file format is, the module looks for an email address (the rest is ignored).</p>","<p>Cet import permet d'importer les emails invalides depuis votre <strong>Système</strong> vers <strong>OpenMage</strong>.<br />Il est réalisé ponctuellement par tâche cron grâce au fichier le plus récent contenu dans le dossier défini ci-dessous.<br />Quelque soit le format du fichier, le module cherche une adresse email (le reste est ignoré).</p>"
"Files location","Localisation des fichiers"
"In <strong>var</strong> folder.","Dans le dossier <strong>var</strong>."
"File format","Format du fichier"
"Examples: <b>txt</b> / <b>csv;2</b> / <b>csv,3""</b><br />The file must be in <b>utf-8</b> (with or without BOM).<br />Use <b>→</b> for the tabulation.","Exemples : <b>txt</b> / <b>csv;2</b> / <b>csv,3""</b><br />Le fichier doit être en <b>utf-8</b> (avec ou sans BOM).<br />Utiliser <b>→</b> pour la tabulation."
"Cron expression","Expression cron"
