"Transactional emails","Transakční emaily"
"Send an email now","Poslat email"
"Username","Uživatelské jméno"
"Recipient(s)","Příjemce(i)"
"Duration","Trvání"
"Duration: %s","Trvání: %s"
"Status: <span %s>%s</span>","Stav: <span %s>%s</span>"
"Sender: %s","Odesilatel: %s"
"Recipient(s): %s","Příjemce(i): %s"
"Subject: %s","Předmět: %s"
"Status: %s","Stav: %s"
" monthly","měsíčně"
" weekly","týdně"
" daily","denně"
"%d days","%d dní"
"%d days (%d weeks)","%d dní (%d týdnů)"
"%d days (%d month)","%d dní (%d měsíc)"
"%d days (%d months)","%d dní (%d měsíců)"
"The <em>%s</em> field is a required field.","Pole <em>%s</em> je povinné."
"Transactional emails - %s","Transakční emaily - %s"
"%d months","%d měsíců"
"%d years","%d let"
"Background color","Barva pozadí"
"Text color","Barva textu"
